ASIN,title,price,rating,review_count,url,prod_type
B0749SQ9YK,Genuine OEM Dell 0TK8C New Inspiron 15 3541 3542 Laptop Notebook Display Visual Monitor 15.6 Inch Rear Back Black Cover Top Panel Case Antenna Shielded Wire Component Support LCD LID 46M.00HCS.0001,None,5.0,1,https://www.amazon.com/Dell-Inspiron-Notebook-Component-46M-00HCS-0001/dp/B0749SQ9YK/ref=sr_1_5794?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5794,monitor
B0798J3N7V,"LG 24BK450H-B Monitor Piatto per PC 60,5 cm (23.8"") Full HD LCD Nero",229.04,4.2,25,https://www.amazon.com/LG-24BK450H-B-Monitor-Piatto-23-8/dp/B0798J3N7V/ref=sr_1_5795?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5795,monitor
B00HYY5N1G,Duronic Monitor Arm Stand DM454 | Quad PC Desk Mount | Aluminium | Height Adjustable | for Four 15-27 inch LED LCD Screens | VESA 75/100 | 11lbs Per Screen | Tilt -90°/+45° Swivel 180° Rotate 360°,144.99,4.7,5,https://www.amazon.com/Duronic-DM454-Monitor-Bracket-Swivel/dp/B00HYY5N1G/ref=sr_1_5796?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5796,monitor
B08CHJ3BX7,"DisplayPort to VGA Cable 6ft, 8K Standard DP to VGA Cable Gold Plated Male to Male Compatible with MacBook Air/Pro Lenovo, Dell, HP, ASUS Black",12.97,Non,None,https://www.amazon.com/DisplayPort-Standard-Plated-Compatible-MacBook/dp/B08CHJ3BX7/ref=sr_1_5797?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5797,monitor
B082XPTLQY,UL Listed 90W AC Charger Compatible with Asus Rog Swift PG27VQ PG27V PG27 PG27AQ PG27A PG278QR PG278QE PG278Q PG278 PG279QE PG279Q PG279 Monitor Laptop Power Supply Cord,26.99,Non,None,https://www.amazon.com/Charger-Compatible-PG278QR-PG278QE-PG279QE/dp/B082XPTLQY/ref=sr_1_5798?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5798,monitor
B08MPDX2G5,Comix Monitor Stand Riser with 2-Layer Organizer Drawer – Metal Screen Displayer Stand with Double Drawers for Home and Office Desktop Management (Dark Brown B2525),39.99,Non,None,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg242_1?ie=UTF8&adId=A03855783QT0S0Q39N1TU&url=%2FComix-Monitor-2-Layer-Organizer-Drawer%2Fdp%2FB08MPDX2G5%2Fref%3Dsr_1_5799_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471739%26s%3Dpc%26sr%3D1-5799-spons%26psc%3D1&qualifier=1617471739&id=7322315779813321&widgetName=sp_mtf,monitor
B08TWMK9W7,"USB C to HDMI VGA Adapter,iTSOHOO Aluminum 2 in 1 USB Type C to VGA HDMI 4K Converter Adaptor for Laptop,Monitor,Projector,HDTV, MacBook Pro,Huawei Mate 30/P30/P30 Pro and More USB C Device",14.69,Non,None,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg242_1?ie=UTF8&adId=A08241532N86LVZYSNJC0&url=%2FAdapter-iTSOHOO-Aluminum-Converter-Projector%2Fdp%2FB08TWMK9W7%2Fref%3Dsr_1_5800_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471739%26s%3Dpc%26sr%3D1-5800-spons%26psc%3D1&qualifier=1617471739&id=7322315779813321&widgetName=sp_mtf,monitor
B000VRRBFY,ViewSonic VA2026w 20-inch Wide Digital/Analog LCD Computer Monitor,None,3.9,13,https://www.amazon.com/ViewSonic-VA2026w-20-inch-Digital-Computer/dp/B000VRRBFY/ref=sr_1_5801?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5801,monitor
B08TZZS9HW,DGZZI XT60 Adapter Cable XT60 Male Bullet Connector to Male DC 5.5x2.1mm Power Cable for Fatshark Skyzone FPV Monitor Power,9.99,Non,None,https://www.amazon.com/DGZZI-Adapter-Connector-5-5x2-1mm-Fatshark/dp/B08TZZS9HW/ref=sr_1_5802?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5802,monitor
B000FTUKQU,"HP RB146AT#ABA L5006TM Touchscreen LCD Monitor, 15"" Wide",None,Non,None,https://www.amazon.com/RB146AT-ABA-L5006TM-Touchscreen-Monitor/dp/B000FTUKQU/ref=sr_1_5803?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5803,monitor
