,ASIN,product_name,item_model_nr,package_dimensions,product_dimensions,best_sellers_rank,ratings,rating_details,batteries,date_first_available,discontinued_by_mfg,seller,seller_link,freq_bought,link_to_all_reviews
316,B01MDK3D9R,NiceTQ Replacement 6ft USB Power Charging Cable for Cowin E-7 Active Noise Cancelling Wireless Bluetooth Over-Ear Stereo Headphones,8541682875,5.98 x 3.7 x 0.2 inches,,,,"[{'info': '4.5 out of 5 stars', 'value': '135 ratings'}]",,"October 10, 2016",No,Nice Plaza,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XRGU92RIKP09&isAmazonFulfilled=1,"[{'info': 'NiceTQ Home Wall AC Power Charger + USB Charging Cable for Cowin E-7 Active Noise Cancelling…', 'value': '/NiceTQ-Charging-Cancelling-Bluetooth-Headphone/dp/B073XCFQGT/ref=pd_bxgy_2/145-5231791-3144166?_encoding=UTF8&pd_rd_i=B073XCFQGT&pd_rd_r=2fa09431-c9ec-40c8-b164-b855baf5c2e9&pd_rd_w=a6BeZ&pd_rd_wg=z0ovU&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6WXAKQR0B24D19YY9MTW&psc=1&refRID=6WXAKQR0B24D19YY9MTW'}]",https://www.amazon.com/NiceTQ-Replacement-Cancelling-Bluetooth-Headphones/product-reviews/B01MDK3D9R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
317,B01MDVGUSO,Snug Play+ Kids Headphones Volume Limiting and Audio Sharing Port (Blue),SNPLAYBL,,4.72 x 3.94 x 1.57 ,,,"[{'info': '4.5 out of 5 stars', 'value': '16,542 ratings'}]",,"November 4, 2016",No,MNO Global,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AA7Y9TVNI1F02&isAmazonFulfilled=1,"[{'info': 'Snug Play+ Kids Headphones Volume Limiting and Audio Sharing Port (Purple)', 'value': '/Snug-Headphones-Limiting-Sharing-Purple/dp/B01A5RO3CI/ref=pd_bxgy_2/139-0496855-9450247?_encoding=UTF8&pd_rd_i=B01A5RO3CI&pd_rd_r=c90f20dc-4bef-489d-af3d-65ad56f7397e&pd_rd_w=H9EGn&pd_rd_wg=W4gl9&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=4G4KFXFWC3A8AXH313V8&psc=1&refRID=4G4KFXFWC3A8AXH313V8'}]",https://www.amazon.com/Kids-Headphones-Limiting-Audio-Sharing/product-reviews/B01MDVGUSO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
318,B01MQNFJC8,C. Crane CC Buds-Pro Full Stereo in-Ear Earbud Headphones – for Audio Books and Voice Clarity,CCBUDSPRO,6.4 x 3.4 x 1.3 inches,,,,"[{'info': '4.4 out of 5 stars', 'value': '105 ratings'}]",,"November 23, 2016",No,C. Crane,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3ANGXR0NYN3EP&isAmazonFulfilled=1,"[{'info': 'C. Crane CC Pocket AM FM and NOAA Weather Radio with Clock and Sleep Timer', 'value': '/Crane-Pocket-Weather-Radio-Clock/dp/B00BSYCZZ0/ref=pd_bxgy_2/147-4693639-7739048?_encoding=UTF8&pd_rd_i=B00BSYCZZ0&pd_rd_r=5b153b1e-da94-493d-ab0f-5247cbe942b2&pd_rd_w=s6ijV&pd_rd_wg=NFRRN&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6MT73QC7Q58S4HPST1YG&psc=1&refRID=6MT73QC7Q58S4HPST1YG'}]",
319,B01MRP38N4,Disney’s Beauty and the Beast Over Ear Headphones with Award-Winning iHome Sound -Best Over Ear Headphones with Mic & Answer Call Button by eKids,Di-M40BY.FXv7,,7.88 x 3.15 x 7.88 ,,,"[{'info': '4.4 out of 5 stars', 'value': '84 ratings'}]",,"November 22, 2016",No,ACMS,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ALMCW9ZGRW7YU&isAmazonFulfilled=1,"[{'info': 'eKids Disney Aladdin Over The Ear Wired Headphones with Built in Microphone Quality Sound from The…', 'value': '/eKids-Aladdin-Headphones-Microphone-Quality/dp/B07NGKMZ5X/ref=pd_bxgy_2/136-7835920-5863447?_encoding=UTF8&pd_rd_i=B07NGKMZ5X&pd_rd_r=6f10a0c7-ac1e-4dd1-8a35-caacdf5f2bac&pd_rd_w=678ok&pd_rd_wg=lpNwh&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=NY2DJANYSAR69G8AT9QA&psc=1&refRID=NY2DJANYSAR69G8AT9QA'}]",https://www.amazon.com/Disneys-Beauty-Headphones-Award-Winning-eKids/product-reviews/B01MRP38N4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
320,B01MS666V4,NZXT Puck - BA-PUCKR-B1 - Cable Management and Headset Mount - Compact Size - Silicone Construction - Powerful Magnet for Computer Case Mounting - Black,BA-PUCKR-B1,,3.35 x 1.57 x 3.35 ,,,"[{'info': '4.8 out of 5 stars', 'value': '1,610 ratings'}]",,"February 27, 2017",No,AmazonGlobal - International Shopping,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XZ7JICGUQ1CX&isAmazonFulfilled=1,"[{'info': 'NZXT AER RGB 2 - HF-28140-B1 - 140mm - Advanced Lighting Customizations - Winglet Tips - Fluid…', 'value': '/NZXT-AER-RGB-Customizations-Controller/dp/B07GW2DFJ1/ref=pd_bxgy_2/141-9840220-2188266?_encoding=UTF8&pd_rd_i=B07GW2DFJ1&pd_rd_r=ed52aafd-5cba-44a4-8758-e33290013af4&pd_rd_w=uJtx9&pd_rd_wg=fUDmy&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=08ZPF89NWEZYTX51KE4D&psc=1&refRID=08ZPF89NWEZYTX51KE4D'}]",https://www.amazon.com/NZXT-Puck-Management-Silicone-Construction/product-reviews/B01MS666V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
321,B01MS666V4,NZXT Puck - BA-PUCKR-B1 - Cable Management and Headset Mount - Compact Size - Silicone Construction - Powerful Magnet for Computer Case Mounting - Black,BA-PUCKR-B1,,3.35 x 1.57 x 3.35 ,,,"[{'info': '4.8 out of 5 stars', 'value': '1,610 ratings'}]",,"February 27, 2017",No,AmazonGlobal - International Shopping,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XZ7JICGUQ1CX&isAmazonFulfilled=1,"[{'info': 'NZXT AER RGB 2 - HF-28140-B1 - 140mm - Advanced Lighting Customizations - Winglet Tips - Fluid…', 'value': '/NZXT-AER-RGB-Customizations-Controller/dp/B07GW2DFJ1/ref=pd_bxgy_2/133-8908584-6095417?_encoding=UTF8&pd_rd_i=B07GW2DFJ1&pd_rd_r=49cc2ebc-b454-47a7-ba5b-8418faa1b1fc&pd_rd_w=9arX7&pd_rd_wg=EMTJi&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AVZ3ME8CZP0Y0PJT1RNM&psc=1&refRID=AVZ3ME8CZP0Y0PJT1RNM'}]",https://www.amazon.com/NZXT-Puck-Management-Silicone-Construction/product-reviews/B01MS666V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
322,B01MSHAHEU,Snug Play+ Kids Headphones Volume Limiting and Audio Sharing Port (Grey),SNPLAYGY,,6.69 x 6.5 x 2.6 ,,,"[{'info': '4.5 out of 5 stars', 'value': '16,544 ratings'}]",,"November 4, 2016",No,MNO Global,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AA7Y9TVNI1F02&isAmazonFulfilled=1,"[{'info': 'Snug Play+ Kids Headphones Volume Limiting and Audio Sharing Port (Aqua)', 'value': '/Snug-Headphones-Limiting-Audio-Sharing/dp/B01A5RKT6C/ref=pd_bxgy_2/132-9451018-1994865?_encoding=UTF8&pd_rd_i=B01A5RKT6C&pd_rd_r=ca138ed8-88c8-4add-b5a0-def84d0adb23&pd_rd_w=i6rSx&pd_rd_wg=gEpXm&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=467GTJH9NC4X5TWGK70N&psc=1&refRID=467GTJH9NC4X5TWGK70N'}]",https://www.amazon.com/Snug-Headphones-Limiting-Audio-Sharing/product-reviews/B01MSHAHEU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
323,B01MSZSJE9,Sennheiser HD 4.40 Around Ear Bluetooth Wireless Headphones - Black,HD 4.40 BT,,7.08 x 3.94 x 10.25 ,,,"[{'info': '4.3 out of 5 stars', 'value': '8,060 ratings'}]",1 CR2 batteries required.,"January 17, 2017",No,Elect-deals,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ALU0Q8BEY90P&isAmazonFulfilled=1,"[{'info': 'Bluetooth USB Adapter USB Dongle Bluetooth Receiver Transfer Wireless Adapter for Laptop PC Support…', 'value': '/ZEXMTE-Bluetooth-Receiver-Transfer-Wireless/dp/B0775YF36R/ref=pd_bxgy_2/147-5411578-9309929?_encoding=UTF8&pd_rd_i=B0775YF36R&pd_rd_r=5878566f-b05b-4793-bde6-d8f5f3342207&pd_rd_w=Ay79L&pd_rd_wg=IouM3&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=D6NEYYWRN3C17ZAPBM7J&psc=1&refRID=D6NEYYWRN3C17ZAPBM7J'}]",https://www.amazon.com/Sennheiser-HD-4-40-Headphones-BT/product-reviews/B01MSZSJE9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
324,B01MUXYVOA,"APEKX Clip Bluetooth Audio Adapter for Headphones, Headset, Speaker, Wireless Receiver with MIC for Hands-Free Call and Music",BR01,,1.77 x 1.26 x 0.66 ,,,"[{'info': '4.3 out of 5 stars', 'value': '2,446 ratings'}]",1 Lithium Polymer batteries required.,"February 7, 2017",No,APEKX US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3OQX0GB2BQTN&isAmazonFulfilled=1,"[{'info': 'Plugfones Basic Earplug-Earbud Hybrid - Noise Reducing Earphones - Yellow', 'value': '/Plugfones-Basic-Earplug-Earbud-Hybrid-Yellow/dp/B0083E7T7C/ref=pd_bxgy_2/135-2974266-5483768?_encoding=UTF8&pd_rd_i=B0083E7T7C&pd_rd_r=e0d3c093-ca5e-4126-b8cf-ea632677b133&pd_rd_w=oe5rB&pd_rd_wg=C6cvz&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Q9YXQA3PGE9XJ5YXWY1V&psc=1&refRID=Q9YXQA3PGE9XJ5YXWY1V'}]",https://www.amazon.com/APEKX-Bluetooth-Headphones-Wireless-Hands-Free/product-reviews/B01MUXYVOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
325,B01MXV1WE5,JBL Bluetooth Headphone Blue (E55BT),E55BT,,8 x 6 x 5 ,,,"[{'info': '4.6 out of 5 stars', 'value': '724 ratings'}]",1 Lithium Polymer batteries required.,"February 24, 2017",No,JMBO Sales (Fast shipping),https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A122NEKMYVAI1X&isAmazonFulfilled=1,"[{'info': 'Homvare Hard Shell Case for Over The Ear Headphones with Full Protection fits Beats Studio, Solo 3…', 'value': '/Homvare-Headphones-Protection-Sennheiser-Skullcandy/dp/B072N3N7T2/ref=pd_bxgy_2/133-3210799-9290908?_encoding=UTF8&pd_rd_i=B072N3N7T2&pd_rd_r=b0ac620f-c66d-4778-b318-cae279f207a3&pd_rd_w=lNhFP&pd_rd_wg=qozqW&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=K4CKH4ZFV850XTNTJRMB&psc=1&refRID=K4CKH4ZFV850XTNTJRMB'}]",https://www.amazon.com/JBL-Bluetooth-Headphone-Blue-E55BT/product-reviews/B01MXV1WE5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
