title,url,rating,review_count,price,asin,prod_type
"Bluetooth Headphones Over-Ear, Zihnic Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Waring(Rose Gold)",https://www.amazon.com/Bluetooth-Over-Ear-Headphones-Foldable-Prolonged/dp/B07K5214NZ/ref=sr_1_13?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-13,4.4,36216,25.99,B07K5214NZ,headphones
"Kids Headphones, Mpow CHE2 Wired Headphones for Kids Teens, Children Headphones with Volume Limit, Foldable Adjustable On Ear Headphones for School, Travel, Compatible with Cellphones, Tablets, PC",https://www.amazon.com/Headphones-Mpow-Adjustable-Compatible-Cellphones/dp/B088F9BZJM/ref=sr_1_14?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-14,4.6,2965,16.99,B088F9BZJM,headphones
"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 40H Playtime, Comfortable Fit, Bluetooth Headphones, Connect to 2 Devices",https://www.amazon.com/Soundcore-Cancelling-Headphones-Comfortable-Bluetooth/dp/B08HMWZBXC/ref=sr_1_15?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-15,4.6,5843,79.99,B08HMWZBXC,headphones
"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Red Purple",https://www.amazon.com/LETSCOM-Bluetooth-Headphones-Playtime-Office-Red/dp/B086GPHS71/ref=sr_1_16?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-16,4.4,24805,26.99,B086GPHS71,headphones
"Earbuds - Earphone - Wired Headphones, 3.5mm in-Ear Wired Earbuds with Built-in Microphone & Volume Control Compatible with iPhone 6s plus/6/5s/5c/iPad/S10 Android All 3.5 mm Audio Devices (2 Pack)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A06427102TMDRQ2TF4KBM&url=%2FEarbuds-Headphones-Ear-Built-Microphone%2Fdp%2FB08XV1QKH1%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473779%26s%3Delectronics%26sr%3D1-17-spons%26psc%3D1&qualifier=1617473779&id=4108057575959059&widgetName=sp_mtf,4.3,9964,11.99,B08XV1QKH1,headphones
TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_18?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-18,4.4,198041,29.99,B07J2Z5DBM,headphones
Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_19?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-19,4.8,14075,None,B000AJIF4E,headphones
"Audio-Technica ATH-M20X Professional Studio Monitor Headphones, Black",https://www.amazon.com/Audio-Technica-ATH-M20x-Professional-Monitor-Headphones/dp/B00HVLUR18/ref=sr_1_20?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-20,4.6,11726,49.00,B00HVLUR18,headphones
"2 Pack Earbuds Headphones Earphones with 3.5mm Wired in-Ear Headphone Plug Built-in Microphone and Volume Control Compatible with iPhone, PC, MP3,MP4, Android",https://www.amazon.com/Headphones-Earphones-Headphone-Microphone-Compatible/dp/B08RJ8MCZ3/ref=sr_1_21?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-21,4.3,89,11.99,B08RJ8MCZ3,headphones
"Jabra Evolve2 85 UC Wireless Headphones with Link380a, Stereo, Black – Wireless Bluetooth Headset for Calls and Music, 37 Hours of Battery Life, Advanced Noise Cancelling Headphones",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A10434643F6KSNX9Q2HVL&url=%2FJabra-Evolve2-Wireless-Headphones-Link380a%2Fdp%2FB08B8XVBM6%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473779%26s%3Delectronics%26sr%3D1-22-spons%26psc%3D1&qualifier=1617473779&id=4108057575959059&widgetName=sp_btf,4.0,276,290.32,B08B8XVBM6,headphones
Apple EarPods with 3.5mm Headphone Plug - White,https://www.amazon.com/Apple-EarPods-3-5mm-Headphone-Plug/dp/B06X16Z7DZ/ref=sr_1_23?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-23,4.7,119660,None,B06X16Z7DZ,headphones
"Powerbeats High-Performance Wireless Earphones - Apple H1 Headphone Chip, Class 1 Bluetooth, 15 Hours of Listening Time, Sweat Resistant Earbuds, Built-in Microphone - Black",https://www.amazon.com/Powerbeats-High-Performance-Wireless-Earphones-Headphone/dp/B0858JWG2S/ref=sr_1_24?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-24,4.6,7938,None,B0858JWG2S,headphones
"Wireless Earbuds, Mpow MBits S True Bluetooth Earbuds In Ear w/Mic CVC8.0 Noise Cancelling Earphones, Bluetooth 5.0 Headphones Sports, Deep Bass/IPX8 Waterproof/35H Playtime/Touch Control/3 Mode,Black",https://www.amazon.com/Mpow-Bluetooth-Cancelling-Headphones-Waterproof/dp/B08DKZM85T/ref=sr_1_25?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-25,4.5,10966,32.99,B08DKZM85T,headphones
COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30H Playtime for Travel/Work/TV/Computer/Cellphone - Black,https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Cellphone/dp/B077YG22Y9/ref=sr_1_26?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-26,4.4,27251,69.99,B077YG22Y9,headphones
Panasonic Full-Sized Lightweight Over-The-Ear Headphones with Mic and Long Cord - RP-HT161M (Black),https://www.amazon.com/Panasonic-Full-Sized-Lightweight-Over-Headphones/dp/B08HBBF6FR/ref=sr_1_27?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-27,4.3,18351,21.99,B08HBBF6FR,headphones
Occiam Bluetooth Headphones-True Wireless Earbuds 48Hrs Play Time Earphones TWS Deep Bass Loud Voice Call Over Ear Waterproof with Microphone Smart LED Display for Sports Running Gaming Workout（Black,https://www.amazon.com/Bluetooth-Headphones-True-Waterproof-Microphone-Workout-Black/dp/B08H1WNYTR/ref=sr_1_28?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-28,4.5,15674,33.14,B08H1WNYTR,headphones
"Kids Headphones-Noot Products K11 Foldable Stereo Tangle-Free 5ft Long Cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Amazon Kindle,Fire/Girls/School/Laptop/Travel/Plane/Tablet-Soft Pink",https://www.amazon.com/Kids-Headphones-Tangle-Free-Ear-Smartphones/dp/B07DKRYS6D/ref=sr_1_29?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-29,4.7,22356,10.00,B07DKRYS6D,headphones
"[2 Pack] iClever BTH03 Kids Wireless Headphones - Colorful Lights Headphones for Kids with MIC, Volume Control Online Schooling - Children Headsets on Ear for School iPad Tablet Airplane, Blue/Pink",https://www.amazon.com/Pack-iClever-BTH03-Headphones-Bluetooth/dp/B08788G7TQ/ref=sr_1_30?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-30,4.5,3813,32.99,B08788G7TQ,headphones
"Earbuds - Earphone - Wired Headphones, 3.5mm in-Ear Wired Earbuds with Built-in Microphone & Volume Control Compatible with iPhone 6s plus/6/5s/5c/iPad/S10 Android All 3.5 mm Audio Devices (2 Pack)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A06427102TMDRQ2TF4KBM&url=%2FEarbuds-Headphones-Ear-Built-Microphone%2Fdp%2FB08XV1QKH1%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473781%26s%3Delectronics%26sr%3D1-25-spons%26psc%3D1&qualifier=1617473781&id=4923824192901200&widgetName=sp_atf_next,4.3,9964,11.99,B08XV1QKH1,headphones
"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Silver Blue",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A04733371L18CA7ZBDJWA&url=%2FBluetooth-Headphones-Microphone-Lightweight-Cellphone%2Fdp%2FB07ZRLM42Z%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473781%26s%3Delectronics%26sr%3D1-26-spons%26psc%3D1&qualifier=1617473781&id=4923824192901200&widgetName=sp_atf_next,4.4,6008,21.24,B07ZRLM42Z,headphones
"Kids Bluetooth Headphones Light Up, Jelly Comb Wireless Headphones with Noise Cancelling Microphone, Foldable Stereo Bass Headset, Volume Control Headset for Boys Girls Teens Child",https://www.amazon.com/Headphones-Jelly-Comb-Cancelling-Microphone/dp/B08KTCT1PV/ref=sr_1_27?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-27,4.7,442,29.99,B08KTCT1PV,headphones
"Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphones with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, 30H Playtime Headset for Adults, TV, Online Class, Home Office",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Headphone-Comfortable/dp/B0868MDSL5/ref=sr_1_28?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-28,4.5,13125,49.99,B0868MDSL5,headphones
"Earbuds - Earphone - Wired Headphones, 3.5mm in-Ear Wired Earbuds with Built-in Microphone & Volume Control Compatible with iPhone 6s plus/6/5s/5c/iPad/S10 Android All 3.5 mm Audio Devices (2 Pack)",https://www.amazon.com/Earbuds-Headphones-Ear-Built-Microphone/dp/B08XV1QKH1/ref=sr_1_29?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-29,4.3,9964,11.99,B08XV1QKH1,headphones
"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless headphones,Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout,Running,Gym Blue Grey",https://www.amazon.com/Mpow-Bluetooth-Headphones-Waterproof-Workout-Blue/dp/B07BC64276/ref=sr_1_30?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-30,4.4,65577,19.98,B07BC64276,headphones
Heavy bass Earphone Color Call with Mic Stereo Earbud Headphones Mixed Colors (Black + White + Pink + Green 4 Pairs)…,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A09744392B08YYXJS6L2E&url=%2Fearphone-Stereo-Earbud-Headphones-Colors%2Fdp%2FB07L1RQDJM%2Fref%3Dsr_1_31_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473781%26s%3Delectronics%26sr%3D1-31-spons%26psc%3D1&qualifier=1617473781&id=4923824192901200&widgetName=sp_mtf,4.2,7715,9.99,B07L1RQDJM,headphones
